arm,seed,dataset,step,p_aligned,acc,logodds,ratio,satisfied,choice_mass
kl1000,0,finance,0,0.159739,0.111111,-3.79594,0.190106,0.0555556,0.0550631
kl1000,0,finance,5,0.16913,0.222222,-3.6572,0.203558,0.0555556,0.0551688
kl1000,0,finance,10,0.203886,0.222222,-3.17501,0.256101,0.0555556,0.0525228
kl1000,0,finance,15,0.222278,0.222222,-2.84883,0.285807,0.0555556,0.0478184
kl1000,0,finance,20,0.226048,0.222222,-2.7451,0.29207,0.0555556,0.048452
kl1000,0,finance,25,0.234327,0.222222,-2.62158,0.306041,0.111111,0.0470046
kl1000,0,finance,30,0.239049,0.222222,-2.56378,0.314146,0.111111,0.0464943
kl1000,0,finance,35,0.240017,0.222222,-2.52532,0.315819,0.111111,0.0465191
kl1000,0,finance,40,0.244031,0.222222,-2.46467,0.322806,0.111111,0.046916
kl1000,0,finance,45,0.243294,0.222222,-2.48717,0.321517,0.111111,0.0461562
kl1000,0,finance,50,0.24614,0.222222,-2.45944,0.326506,0.111111,0.0450773
kl1000,0,finance,55,0.246446,0.222222,-2.4364,0.327045,0.111111,0.0454785
kl1000,0,finance,60,0.249029,0.222222,-2.41634,0.33161,0.111111,0.0476567
kl1000,1,general,0,0.870269,0.888889,5.34806,6.70824,0.777778,0.131647
kl1000,1,general,5,0.936224,0.888889,6.53979,14.68,0.888889,0.134642
kl1000,1,general,10,0.975905,1,8.34097,40.5023,0.888889,0.149044
kl1000,1,general,15,0.945253,0.944444,8.38465,17.266,0.888889,0.150846
kl1000,1,general,20,0.945272,0.944444,8.51684,17.2722,0.888889,0.148643
kl1000,1,general,25,0.958323,0.944444,8.8046,22.9938,0.944444,0.147221
kl1000,1,general,30,0.953266,0.944444,8.9228,20.3977,0.944444,0.151176
kl1000,1,general,35,0.961446,0.944444,8.95328,24.9375,0.944444,0.15408
kl1000,1,general,40,0.982289,1,9.03197,55.4632,0.944444,0.152533
kl1000,1,general,45,0.978904,1,8.86246,46.4015,0.944444,0.151149
kl1000,1,general,50,0.969022,0.944444,8.64381,31.2812,0.944444,0.145935
kl1000,1,general,55,0.970561,0.944444,8.61911,32.9691,0.944444,0.148168
kl1000,1,general,60,0.972217,1,8.63541,34.9931,0.944444,0.149138
kl1000,1,finance,0,0.158939,0.166667,-3.68806,0.188974,0.0555556,0.0573459
kl1000,1,finance,5,0.168132,0.166667,-3.53822,0.202114,0.0555556,0.0566468
kl1000,1,finance,10,0.203199,0.222222,-3.08825,0.255019,0.0555556,0.0558426
kl1000,1,finance,15,0.219451,0.222222,-2.83925,0.28115,0.0555556,0.0535644
kl1000,1,finance,20,0.22932,0.222222,-2.67272,0.297555,0.0555556,0.0534514
kl1000,1,finance,25,0.242562,0.222222,-2.5158,0.32024,0.0555556,0.0541794
kl1000,1,finance,30,0.248744,0.222222,-2.41385,0.331104,0.0555556,0.0530819
kl1000,1,finance,35,0.251666,0.222222,-2.37653,0.336302,0.0555556,0.0549193
kl1000,1,finance,40,0.260346,0.222222,-2.25219,0.351984,0.111111,0.0530082
kl1000,1,finance,45,0.260487,0.222222,-2.24181,0.352241,0.111111,0.0516452
kl1000,1,finance,50,0.261365,0.222222,-2.21538,0.353848,0.111111,0.0517439
kl1000,1,finance,55,0.25945,0.222222,-2.22575,0.350348,0.111111,0.0497512
kl1000,1,finance,60,0.262214,0.222222,-2.21159,0.355407,0.111111,0.0513399
kl10000,0,general,0,0.880876,0.888889,5.76683,7.3946,0.777778,0.142185
kl10000,0,general,5,0.970386,1,7.19413,32.7679,0.888889,0.149975
kl10000,0,general,10,0.996814,1,9.53023,312.907,1,0.177466
kl10000,0,general,15,0.948322,0.944444,9.1703,18.3507,0.944444,0.167082
kl10000,0,general,20,0.951805,0.944444,8.87723,19.7489,0.944444,0.163258
kl10000,0,general,25,0.971357,1,8.73232,33.9122,0.944444,0.157907
kl10000,0,general,30,0.952351,0.944444,8.48107,19.987,0.944444,0.154758
kl10000,0,general,35,0.958555,0.944444,8.54994,23.1281,0.944444,0.154543
kl10000,0,general,40,0.975189,1,8.51088,39.3049,0.944444,0.153355
kl10000,0,general,45,0.96781,1,8.33959,30.0654,0.888889,0.152196
kl10000,0,general,50,0.961915,0.944444,8.26053,25.2568,0.944444,0.150113
kl10000,0,general,55,0.962674,0.944444,8.30853,25.7908,0.944444,0.15059
